temp,precip,K,prio,alpha,beta,dom_rel,irr_rel,eco_rel,dom_crel,irr_crel,eco_crel,dom_res,irr_res,eco_res,dom_vul,irr_vul,eco_vul,cost
0,0.7,120,1,0.5,1,69.716666668,67.000000001,NA,83.383333333,77.666666666,NA,0.2065447004,0.1797142549,0.5372780557,0.5841891465,0.7803067078,0.4894896005,1e+08
0,0.7,120,1,0.7,0.4,59.033333332,57.016666666,99.033333333,73.266666666,67.216666668,99.566666667,0.1167555905,0.1039340788,0.4076890562,0.3853670921,0.7199386109,0.293042867,1e+08
0,0.7,120,1,0.7,0.7,64.866666666,63.133333331,NA,74.25,70.6,NA,0.1581894268,0.14208768,0.4737189801,0.4708589754,0.7818831711,0.2950407725,1e+08
0,0.7,120,1,0.7,1,68.616666666,67.000000001,NA,75.200000001,73.016666666,NA,0.1948063974,0.1797142549,0.5007231636,0.5513064675,0.8167667366,0.3074611909,1e+08
0,0.7,120,1,0.9,0.4,57.616666668,57.016666666,98.533333333,71.116666667,59.349999999,98.75,0.108029675,0.1039340788,0.3659866752,0.3311839177,0.8394077194,0.0995176227,1e+08
0,0.7,120,1,0.9,0.7,63.633333334,63.133333331,NA,72.483333334,65.05,NA,0.1469487909,0.14208768,0.4266861282,0.4313692557,0.8651243966,0.1020900001,1e+08
0,0.7,120,1,0.9,1,67.433333334,67.000000001,NA,74.283333334,68.95,NA,0.1836174449,0.1797142549,0.4640063411,0.518010287,0.8723615321,0.1193682358,1e+08
0,0.7,120,2,0.5,0.4,62.283333334,57.016666666,99.949999999,92.183333333,80.816666665,100,0.138735796,0.1039340788,0.3798235049,0.4218993032,0.6461789221,0.5699157308,1e+08
0,0.7,120,2,0.5,0.7,67.016666668,63.133333331,NA,87.966666666,78.216666665,NA,0.1818530536,0.14208768,0.4391644043,0.4950446179,0.7280493409,0.6202419619,1e+08
0,0.7,120,2,0.5,1,70.516666666,67.000000001,NA,84.883333333,77.666666666,NA,0.219642217,0.1797142549,0.4724060372,0.570797266,0.7803067078,0.6800492834,1e+08
0,0.7,120,2,0.7,0.4,59.850000001,57.016666666,99.949999999,75.383333332,67.216666668,100,0.1223701903,0.1039340788,0.3647559097,0.3590401893,0.7199386109,0.5406751335,1e+08
0,0.7,120,2,0.7,0.7,65.316666668,63.133333331,NA,75.599999999,70.6,NA,0.164169994,0.14208768,0.4268328701,0.4382787314,0.7818831711,0.6343513592,1e+08
0,0.7,120,2,0.7,1,69.100000001,67.000000001,NA,76.366666668,73.016666666,NA,0.2015006731,0.1797142549,0.4619989554,0.5177261204,0.8167667366,0.704346712,1e+08
0,0.7,120,2,0.9,0.4,57.800000001,57.016666666,99.949999999,74.966666667,59.349999999,99.983333333,0.1101883315,0.1039340788,0.3531987279,0.276826381,0.8394077194,0.5995306218,1e+08
0,0.7,120,2,0.9,0.7,63.733333333,63.133333331,NA,75.2,65.05,NA,0.1500834749,0.14208768,0.4084783346,0.3747520244,0.8651243966,0.6721860366,1e+08
0,0.7,120,2,0.9,1,67.549999999,67.000000001,NA,75.716666667,68.95,NA,0.1837643313,0.1797142549,0.4490167421,0.4615902688,0.8723615321,0.7217774851,1e+08
0,0.7,120,3,0.5,0.4,62.283333334,58.033333333,99.949999999,92.183333333,82.950000001,100,0.138735796,0.1150847375,0.346879603,0.4218993032,0.6224289877,0.682978938,1e+08
0,0.7,120,3,0.5,0.7,67.016666668,63.749999999,NA,87.966666666,79.483333332,NA,0.1818530536,0.1514175898,0.4013451599,0.4950446179,0.7057335947,0.7446797185,1e+08
0,0.7,120,3,0.5,1,70.516666666,67.650000001,NA,84.883333333,78.833333333,NA,0.219642217,0.1879046063,0.4406253793,0.570797266,0.759235808,0.7926862229,1e+08
0,0.7,120,3,0.7,0.4,59.850000001,57.7,99.949999999,75.383333332,69.85,100,0.1223701903,0.1126711371,0.346879603,0.3590401893,0.6756427282,0.7773204749,1e+08
0,0.7,120,3,0.7,0.7,65.316666668,63.466666666,NA,75.599999999,72.216666666,NA,0.164169994,0.1498386752,0.4013451599,0.4382787314,0.7486105565,0.8051423537,1e+08
0,0.7,120,3,0.7,1,69.100000001,67.366666666,NA,76.366666668,73.949999999,NA,0.2015006731,0.1852464376,0.4406253793,0.5177261204,0.7951601417,0.8250135772,1e+08
0,0.7,120,3,0.9,0.4,57.800000001,57.300000001,99.949999999,74.966666667,61.633333333,99.983333333,0.1101883315,0.1060704804,0.346879603,0.276826381,0.7799270873,0.8977048571,1e+08
0,0.7,120,3,0.9,0.7,63.733333333,63.216666664,NA,75.2,66.866666667,NA,0.1500834749,0.1432722687,0.4013451599,0.3747520244,0.8135429926,0.9098599665,1e+08
0,0.7,120,3,0.9,1,67.549999999,67.116666668,NA,75.716666667,70.299999999,NA,0.1837643313,0.1827588818,0.4406253793,0.4615902688,0.8360835733,0.9010435302,1e+08
0,0.7,130,1,0.5,0.4,61.716666667,57.666666667,99.450000001,90.783333332,81.216666667,99.949999999,0.1273540651,0.1038137305,0.4664863135,0.4397940208,0.6445916338,0.4630656101,1.05e+08
0,0.7,130,1,0.5,0.7,66.733333332,63.766666667,NA,86.416666667,78.65,NA,0.1683291325,0.1413075647,0.5219504424,0.5130128765,0.7276961794,0.4760449628,1.05e+08
0,0.7,130,1,0.5,1,70.283333334,67.633333332,NA,83.550000001,78.050000001,NA,0.2019790048,0.1770397088,0.5319778871,0.5851338478,0.7810301974,0.4898561707,1.05e+08
0,0.7,130,1,0.7,0.4,59.833333333,57.666666667,99.033333333,73.600000001,67.883333334,99.566666667,0.1177972067,0.1038137305,0.4058393659,0.3858480091,0.716860605,0.2927783833,1.05e+08
0,0.7,130,1,0.7,0.7,65.533333333,63.766666667,NA,74.666666666,71.183333334,NA,0.1579432538,0.1413075647,0.4690286785,0.4721136005,0.7814127719,0.2947237804,1.05e+08
0,0.7,130,1,0.7,1,69.216666667,67.633333332,NA,75.6,73.55,NA,0.1909659554,0.1770397088,0.4966786389,0.5529880762,0.8169385104,0.3072831131,1.05e+08
0,0.7,130,1,0.9,0.4,58.299999999,57.666666667,98.533333333,71.649999998,60.166666667,98.75,0.1091639064,0.1038137305,0.3656677998,0.3314572263,0.835896727,0.0994770531,1.05e+08
0,0.7,130,1,0.9,0.7,64.283333334,63.766666667,NA,73.016666667,65.783333333,NA,0.1459259626,0.1413075647,0.4249122712,0.4327184475,0.8637842743,0.1020694128,1.05e+08
0,0.7,130,1,0.9,1,68.100000001,67.633333332,NA,74.749999999,69.550000001,NA,0.1817100722,0.1770397088,0.4569017391,0.5203888663,0.8724097784,0.1202165702,1.05e+08
0,0.7,130,2,0.5,0.4,63.083333335,57.666666667,99.949999999,92.25,81.216666667,100,0.1399339413,0.1038137305,0.3807831522,0.4225483613,0.6445916338,0.570208416,1.05e+08
0,0.7,130,2,0.5,0.7,67.616666666,63.766666667,NA,88.133333335,78.65,NA,0.1812972855,0.1413075647,0.4353851268,0.4957568316,0.7276961794,0.6229480568,1.05e+08
0,0.7,130,2,0.5,1,71.05,67.633333332,NA,85.05,78.050000001,NA,0.2155925063,0.1770397088,0.4661128075,0.5713610009,0.7810301974,0.6836398579,1.05e+08
0,0.7,130,2,0.7,0.4,60.633333333,57.666666667,99.949999999,75.633333334,67.883333334,100,0.1239703427,0.1038137305,0.3650849695,0.3595709725,0.716860605,0.5421121054,1.05e+08
0,0.7,130,2,0.7,0.7,65.966666666,63.766666667,NA,75.933333333,71.183333334,NA,0.1644362018,0.1413075647,0.4223325326,0.439262589,0.7814127719,0.6367248719,1.05e+08
0,0.7,130,2,0.7,1,69.683333333,67.633333332,NA,76.716666668,73.55,NA,0.1970560822,0.1770397088,0.455946658,0.5191163367,0.8169385104,0.7083445785,1.05e+08
0,0.7,130,2,0.9,0.4,58.516666667,57.666666667,99.949999999,75.399999999,60.166666667,99.983333333,0.1110308488,0.1038137305,0.3548301617,0.2775423825,0.835896727,0.5975412486,1.05e+08
0,0.7,130,2,0.9,0.7,64.383333334,63.766666667,NA,75.566666667,65.783333333,NA,0.1490998299,0.1413075647,0.4063333073,0.3762459354,0.8637842743,0.6722743691,1.05e+08
0,0.7,130,2,0.9,1,68.2,67.633333332,NA,76.166666667,69.550000001,NA,0.1823097786,0.1770397088,0.4424638478,0.4637349956,0.8724097784,0.7272713431,1.05e+08
0,0.7,130,3,0.5,0.4,63.083333335,58.733333333,99.949999999,92.25,83.283333335,100,0.1399339413,0.1152377356,0.3465050808,0.4225483613,0.6213496871,0.6814518275,1.05e+08
0,0.7,130,3,0.5,0.7,67.616666666,64.400000001,NA,88.133333335,79.816666665,NA,0.1812972855,0.1499818199,0.3990827548,0.4957568316,0.7056905127,0.7440969041,1.05e+08
0,0.7,130,3,0.5,1,71.05,68.333333334,NA,85.05,79.216666668,NA,0.2155925063,0.185690815,0.4340401268,0.5713610009,0.762286687,0.7919499898,1.05e+08
0,0.7,130,3,0.7,0.4,60.633333333,58.3,99.949999999,75.633333334,70.483333333,100,0.1239703427,0.1125270623,0.3465050808,0.3595709725,0.6722365198,0.7730837752,1.05e+08
0,0.7,130,3,0.7,0.7,65.966666666,64.099999999,NA,75.933333333,72.766666667,NA,0.1644362018,0.1482743866,0.3990827548,0.439262589,0.7485692695,0.8036230056,1.05e+08
0,0.7,130,3,0.7,1,69.683333333,68.033333331,NA,76.716666668,74.466666665,NA,0.1970560822,0.1828882126,0.4340401268,0.5191163367,0.7969108451,0.8247140756,1.05e+08
0,0.7,130,3,0.9,0.4,58.516666667,57.966666667,99.949999999,75.399999999,62.366666665,99.983333333,0.1110308488,0.1068121578,0.3465050808,0.2775423825,0.7764226313,0.8940453476,1.05e+08
0,0.7,130,3,0.9,0.7,64.383333334,63.833333334,NA,75.566666667,67.633333333,NA,0.1490998299,0.1424537034,0.3990827548,0.3762459354,0.8122992289,0.9068224144,1.05e+08
0,0.7,130,3,0.9,1,68.2,67.783333335,NA,76.166666667,70.883333332,NA,0.1823097786,0.1803776015,0.4340401268,0.4637349956,0.8374758518,0.9008198,1.05e+08
0,0.7,140,1,0.5,0.4,62.433333334,58.416666667,99.450000001,90.833333333,81.450000001,99.949999999,0.1262155189,0.1044142323,0.4628977221,0.4407439771,0.6448794512,0.4617055959,1.1e+08
0,0.7,140,1,0.5,0.7,67.383333333,64.483333334,NA,86.5,78.949999999,NA,0.1659519796,0.1395611417,0.5211106682,0.5148403105,0.7292602423,0.4758321397,1.1e+08
0,0.7,140,1,0.5,1,70.833333332,68.250000001,NA,83.783333333,78.416666667,NA,0.2025335021,0.1763820493,0.5318487814,0.5872180916,0.7818397631,0.4904291721,1.1e+08
0,0.7,140,1,0.7,0.4,60.65,58.416666667,99.05,73.966666667,68.566666667,99.566666667,0.1173438439,0.1044142323,0.4007234594,0.3880668177,0.7175251555,0.2930061005,1.1e+08
0,0.7,140,1,0.7,0.7,66.216666666,64.483333334,NA,74.966666667,71.699999999,NA,0.1552074467,0.1395611417,0.4677443634,0.4744074152,0.7825045199,0.2949199854,1.1e+08
0,0.7,140,1,0.7,1,69.816666669,68.250000001,NA,75.949999999,74.016666667,NA,0.1905184286,0.1763820493,0.4944019894,0.5550555928,0.8181873962,0.3084208321,1.1e+08
0,0.7,140,1,0.9,0.4,59.133333334,58.416666667,98.55,72.049999999,60.999999999,98.766666666,0.1094892415,0.1044142323,0.3633501954,0.3341000499,0.8351701953,0.0994607616,1.1e+08
0,0.7,140,1,0.9,0.7,64.983333334,64.483333334,NA,73.383333333,66.466666668,NA,0.1446612623,0.1395611417,0.4217794064,0.4350216933,0.8659408418,0.1023445216,1.1e+08
0,0.7,140,1,0.9,1,68.683333334,68.250000001,NA,75.133333333,70.216666666,NA,0.1816018056,0.1763820493,0.4563989048,0.5224305564,0.8731958504,0.1210934163,1.1e+08
0,0.7,140,2,0.5,0.4,63.750000001,58.416666667,99.949999999,92.333333333,81.450000001,100,0.1383119607,0.1044142323,0.3760727508,0.423307995,0.6448794512,0.5721422677,1.1e+08
